Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.1051517,0.0,0.038107886663911975,128.83823529411765,0.3135385,-0.14778201,0.03810781591078814,0.5875255880767808,0.04814237,0.1036801,0.00039957548,1.2361832,1.0452019
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
20000,1.2608654,0.0,-0.24944043009392253,159.14285714285714,0.07410513,0.40663028,-0.2494405247271061,1.4998411458384777,0.016527189,0.10581507,0.0003987993,0.5148841,0.7697896
