Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.1554542,0.0,0.11507696071639657,123.8,0.34942353,-0.18324332,0.11507688623208266,0.5348908846194927,0.057164956,0.103029385,0.00029977056,1.3549732,1.059521
20000,1.9891543,0.0,0.4664539277639425,70.18439716312056,0.37811103,0.15859213,0.4629166541354997,0.42687740401764,0.008877446,0.09600647,0.00029935368,0.4892446,0.7305653
20000,1.9891543,0.0,0.4664539277639425,70.18439716312056,0.37811103,0.15859213,0.4629166541354997,0.42687740401764,0.008877446,0.09600647,0.00029935368,0.4892446,0.7305653
20000,1.9891543,0.0,0.4664539277639425,70.18439716312056,0.37811103,0.15859213,0.4629166541354997,0.42687740401764,0.008877446,0.09600647,0.00029935368,0.4892446,0.7305653
20000,1.9891543,0.0,0.4664539277639425,70.18439716312056,0.37811103,0.15859213,0.4629166541354997,0.42687740401764,0.008877446,0.09600647,0.00029935368,0.4892446,0.7305653
30000,1.692252,1.0,-0.32681040667618316,168.2941176470588,0.06852395,0.39558998,-0.3020321044784326,0.974390930066315,0.004392552,0.098399125,0.00029889966,0.45357123,0.5235875
30000,1.692252,1.0,-0.32681040667618316,168.2941176470588,0.06852395,0.39558998,-0.3020321044784326,0.974390930066315,0.004392552,0.098399125,0.00029889966,0.45357123,0.5235875
30000,1.692252,1.0,-0.32681040667618316,168.2941176470588,0.06852395,0.39558998,-0.3020321044784326,0.974390930066315,0.004392552,0.098399125,0.00029889966,0.45357123,0.5235875
30000,1.692252,1.0,-0.32681040667618316,168.2941176470588,0.06852395,0.39558998,-0.3020321044784326,0.974390930066315,0.004392552,0.098399125,0.00029889966,0.45357123,0.5235875
40000,1.6223274,1.0,-0.6692694410919509,213.38297872340425,-0.20850194,0.5041145,-0.6692695731812335,1.0170705972358267,0.00604834,0.10066009,0.00029849002,0.4448923,0.46368784
40000,1.6223274,1.0,-0.6692694410919509,213.38297872340425,-0.20850194,0.5041145,-0.6692695731812335,1.0170705972358267,0.00604834,0.10066009,0.00029849002,0.4448923,0.46368784
40000,1.6223274,1.0,-0.6692694410919509,213.38297872340425,-0.20850194,0.5041145,-0.6692695731812335,1.0170705972358267,0.00604834,0.10066009,0.00029849002,0.4448923,0.46368784
40000,1.6223274,1.0,-0.6692694410919509,213.38297872340425,-0.20850194,0.5041145,-0.6692695731812335,1.0170705972358267,0.00604834,0.10066009,0.00029849002,0.4448923,0.46368784
50000,1.1058882,1.0,-0.8595872343118701,236.83333333333334,-0.24908322,0.609539,-0.8595873827026004,1.1837140284478664,0.005322994,0.10298817,0.00029808117,0.37347844,0.42556837
