Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,0.1446543,-0.030111292,1.80828,0.0,-1.0747096150467592,218.59677419354838,-1.074709749990894,0.9019696473354294,0.045646068,0.09744441,0.00029481362,0.94764894,0.8253769
20000,2.0441914,0.0,0.06690971,0.16782418,-1.1850605475959706,209.3181818181818,-1.1893644062585609,0.8618781426271727,0.009277287,0.09984213,0.00029934573,0.3563398,0.9719666
20000,0.06690971,0.16782418,2.0441914,0.0,-1.1850605475959706,209.3181818181818,-1.1893644062585609,0.8618781426271727,0.009277287,0.09984213,0.00029934573,0.3563398,0.9719666
20000,0.06690971,0.16782418,2.0441914,0.0,-1.1850605475959706,209.3181818181818,-1.1893644062585609,0.8618781426271727,0.009277287,0.09984213,0.00029934573,0.3563398,0.9719666
20000,0.06690971,0.16782418,2.0441914,0.0,-1.1850605475959706,209.3181818181818,-1.1893644062585609,0.8618781426271727,0.009277287,0.09984213,0.00029934573,0.3563398,0.9719666
30000,1.8914516,0.0,-0.20658952,0.3381674,-1.1844721663122375,195.5625,-1.1807075410473102,0.9753586265961735,0.006188723,0.09935216,0.00029892407,0.42157617,0.9896453
30000,-0.20658952,0.3381674,1.8914516,0.0,-1.1844721663122375,195.5625,-1.1807075410473102,0.9753586265961735,0.006188723,0.09935216,0.00029892407,0.42157617,0.9896453
30000,-0.20658952,0.3381674,1.8914516,0.0,-1.1844721663122375,195.5625,-1.1807075410473102,0.9753586265961735,0.006188723,0.09935216,0.00029892407,0.42157617,0.9896453
30000,-0.20658952,0.3381674,1.8914516,0.0,-1.1844721663122375,195.5625,-1.1807075410473102,0.9753586265961735,0.006188723,0.09935216,0.00029892407,0.42157617,0.9896453
40000,1.8335004,0.0,-0.35661098,0.44519025,-1.075517664618909,224.59574468085106,-1.0755178015282814,1.21041105727249,0.0029481829,0.099077106,0.0002984755,0.47527322,0.84601325
40000,-0.35661098,0.44519025,1.8335004,0.0,-1.075517664618909,224.59574468085106,-1.0755178015282814,1.21041105727249,0.0029481829,0.099077106,0.0002984755,0.47527322,0.84601325
40000,-0.35661098,0.44519025,1.8335004,0.0,-1.075517664618909,224.59574468085106,-1.0755178015282814,1.21041105727249,0.0029481829,0.099077106,0.0002984755,0.47527322,0.84601325
40000,-0.35661098,0.44519025,1.8335004,0.0,-1.075517664618909,224.59574468085106,-1.0755178015282814,1.21041105727249,0.0029481829,0.099077106,0.0002984755,0.47527322,0.84601325
50000,1.5773803,0.0,-0.41740978,0.53481555,-1.0812650929014622,228.8409090909091,-1.0812652321024374,1.223013888028535,0.0029989872,0.099653706,0.00029806246,0.50510305,0.6286784
50000,-0.41740978,0.53481555,1.5773803,0.0,-1.0812650929014622,228.8409090909091,-1.0812652321024374,1.223013888028535,0.0029989872,0.099653706,0.00029806246,0.50510305,0.6286784
50000,-0.41740978,0.53481555,1.5773803,0.0,-1.0812650929014622,228.8409090909091,-1.0812652321024374,1.223013888028535,0.0029989872,0.099653706,0.00029806246,0.50510305,0.6286784
50000,-0.41740978,0.53481555,1.5773803,0.0,-1.0812650929014622,228.8409090909091,-1.0812652321024374,1.223013888028535,0.0029989872,0.099653706,0.00029806246,0.50510305,0.6286784
60000,1.2740823,0.0,-0.43176198,0.58116347,-1.1550637696166226,217.9787234042553,-1.1584348497183428,1.1873865718143466,0.0025550514,0.105650306,0.00029766007,0.48771247,0.43825704
60000,-0.43176198,0.58116347,1.2740823,0.0,-1.1550637696166226,217.9787234042553,-1.1584348497183428,1.1873865718143466,0.0025550514,0.105650306,0.00029766007,0.48771247,0.43825704
60000,-0.43176198,0.58116347,1.2740823,0.0,-1.1550637696166226,217.9787234042553,-1.1584348497183428,1.1873865718143466,0.0025550514,0.105650306,0.00029766007,0.48771247,0.43825704
60000,-0.43176198,0.58116347,1.2740823,0.0,-1.1550637696166226,217.9787234042553,-1.1584348497183428,1.1873865718143466,0.0025550514,0.105650306,0.00029766007,0.48771247,0.43825704
70000,1.219895,0.0,-0.43342823,0.5568086,-1.0861586669426677,228.1904761904762,-1.08415510973265,1.067597927049149,0.0019509292,0.1018224,0.0002972086,0.4368059,0.44616628
70000,-0.43342823,0.5568086,1.219895,0.0,-1.0861586669426677,228.1904761904762,-1.08415510973265,1.067597927049149,0.0019509292,0.1018224,0.0002972086,0.4368059,0.44616628
70000,-0.43342823,0.5568086,1.219895,0.0,-1.0861586669426677,228.1904761904762,-1.08415510973265,1.067597927049149,0.0019509292,0.1018224,0.0002972086,0.4368059,0.44616628
70000,-0.43342823,0.5568086,1.219895,0.0,-1.0861586669426677,228.1904761904762,-1.08415510973265,1.067597927049149,0.0019509292,0.1018224,0.0002972086,0.4368059,0.44616628
80000,1.1558268,0.0,-0.45693612,0.5050971,-1.0670158109638752,235.3095238095238,-1.068715527290251,1.0269244611263275,0.0014160406,0.095992275,0.00029679775,0.40563035,0.3704506
80000,-0.45693612,0.5050971,1.1558268,0.0,-1.0670158109638752,235.3095238095238,-1.068715527290251,1.0269244611263275,0.0014160406,0.095992275,0.00029679775,0.40563035,0.3704506
80000,-0.45693612,0.5050971,1.1558268,0.0,-1.0670158109638752,235.3095238095238,-1.068715527290251,1.0269244611263275,0.0014160406,0.095992275,0.00029679775,0.40563035,0.3704506
