Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.167895,0.0,0.7092777963829203,49.205128205128204,0.3626673,-0.22640553,0.7092777811563932,0.12942669215874794,0.053952657,0.10006797,0.0002998375,1.2508006,0.9708877
20000,2.0916576,0.0,0.16933601421843622,109.16666666666667,0.3389142,0.17636317,0.16396797275543212,0.5897429196387529,0.007941034,0.09968374,0.0002995439,0.41539112,0.51802987
30000,1.966114,1.0,0.8093560757115483,29.579545454545453,0.4136676,0.26130888,0.80970412090923,0.17313102287439147,0.00618249,0.099983074,0.00029922667,0.36962843,0.4253617
40000,1.3125172,1.0,-0.9061405565589666,244.078125,-0.13982646,0.5934125,-0.9061407106928527,1.1397423022426665,0.004880955,0.10344433,0.0002989334,0.4095831,0.46149817
50000,1.4130905,1.0,-0.8232591918807615,240.92592592592592,-0.22346242,0.54969686,-0.8232593414960084,1.03577844467428,0.0033354335,0.09644169,0.000298647,0.35600471,0.32971692
60000,1.3710324,1.0,-0.9495878098617223,244.52727272727273,-0.26675883,0.58169824,-0.9422361974914869,1.106703357771039,0.0029633187,0.09995513,0.0002983633,0.4046332,0.48224673
70000,1.3306369,1.0,-0.8981666000576557,240.5,-0.3184695,0.5528228,-0.9161373368080925,1.099572952672401,0.0044977413,0.10439417,0.00029807218,0.37471277,0.31202227
80000,1.4037324,1.0,-0.8791593534608736,239.6086956521739,-0.3343995,0.513942,-0.8817305812176238,0.9137301734311783,0.0041155783,0.09720042,0.00029774444,0.36349067,0.3182048
90000,1.3385445,1.0,-0.7122765316063181,224.08510638297872,-0.28358024,0.49994048,-0.7122766673564911,0.9736438911963017,0.0071630725,0.09503084,0.00029743393,0.35808143,0.3406774
100000,1.2591491,1.0,-0.707901898162056,219.3235294117647,-0.26477578,0.4486567,-0.7079020274036071,0.7678803467356107,0.004478695,0.110531494,0.00029715593,0.31950414,0.28893736
110000,1.2092671,1.0,-0.7325892227485643,221.51785714285714,-0.28884593,0.40855542,-0.7325893592621598,0.7055841344408691,0.004290505,0.09792215,0.000296854,0.32219043,0.28858587
120000,1.1876502,1.0,-0.17570170658036022,160.91228070175438,-0.20508903,0.3833201,-0.16098219422357424,0.5164325702602842,0.010936786,0.109189995,0.00029655598,0.3084535,0.2644368
130000,1.0462109,1.0,-0.009410918103403424,134.57534246575344,-0.051193748,0.36751866,0.00434719067480829,0.42406973949012655,0.01341112,0.101027444,0.0002962576,0.28128597,0.19706164
140000,0.9473896,1.0,0.33939725684273675,95.275,0.15268931,0.3153372,0.328316794200377,0.25660832615738566,0.01602522,0.104852684,0.0002959539,0.2504751,0.18244898
150000,0.6399736,1.0,0.7225576855729983,49.464454976303315,0.54149586,0.29868212,0.7136271804994881,0.08936869164584514,0.0139700845,0.09769581,0.00029566343,0.18317662,0.11683204
160000,0.8559775,2.0,0.5012933614291251,83.52,0.19640404,0.30932242,0.5390066581964493,0.16568417101167143,0.0066456897,0.09421522,0.0002953717,0.19213313,0.122484185
170000,0.927606,2.0,-0.5999435310538571,205.93846153846152,-0.11584499,0.30300426,-0.606005119103374,0.525029962247407,0.0049970136,0.103389844,0.0002950517,0.24570449,0.16282225
180000,1.1851475,2.0,-0.32220133816008456,177.9375,-0.14112781,0.29332694,-0.32220143886903924,0.41367287347869325,0.004261722,0.099272735,0.0002947331,0.22521928,0.18450335
190000,1.1680537,2.0,-0.37576830808578404,181.40677966101694,-0.16397652,0.2872922,-0.3757684099472175,0.43151083544401797,0.007565564,0.10217925,0.00029444377,0.2337718,0.19118914
200000,1.1611472,2.0,-0.12760508055798708,157.3846153846154,-0.04077516,0.27642232,-0.12760517001152039,0.3695466186278141,0.008431933,0.10305987,0.0002941282,0.24231906,0.1896942
210000,1.1808245,2.0,-0.11531604389290742,161.08620689655172,-0.03618604,0.2643185,-0.13278367331153468,0.40289103792032654,0.0064698486,0.09752185,0.00029385003,0.23763196,0.1532884
220000,1.1519029,2.0,0.12875400846436,127.27380952380952,0.1745973,0.2106938,0.1375960563912111,0.2922384598895031,0.009283241,0.09840252,0.0002935718,0.22459984,0.17552467
230000,1.0946314,2.0,0.31727894936327117,113.40816326530613,0.30296126,0.1874122,0.31327489325680685,0.21772136403842993,0.008655369,0.103870675,0.00029326006,0.18144318,0.13065925
240000,0.9623728,2.0,0.5430588547919071,90.00840336134453,0.46051624,0.21292083,0.5444593672491923,0.15044493151499944,0.0070144855,0.10273002,0.00029294603,0.17015864,0.10604127
250000,0.91218567,2.0,0.6759701430203457,69.66896551724138,0.585188,0.24615522,0.6750319663384189,0.11804852933201888,0.0052982606,0.10271819,0.0002926352,0.16477144,0.095234856
260000,0.94017905,2.0,0.7055915728355693,65.6056338028169,0.5700827,0.2556879,0.706139474895829,0.11074602589381079,0.005635111,0.100130655,0.00029232338,0.1691837,0.08300688
270000,0.85076386,2.0,0.7240961045752663,60.66470588235294,0.62043494,0.2582239,0.7237902017200695,0.09188091978430749,0.005337134,0.10223605,0.00029204422,0.14833157,0.05425101
280000,0.76295996,2.0,0.7595947200038196,56.29545454545455,0.65773696,0.34446892,0.7586325828663327,0.08017788851760667,0.0034263518,0.0970211,0.00029176363,0.15133266,0.06306571
290000,1.1806343,3.0,0.4506054775865406,105.53061224489795,0.45891473,0.34874374,0.45858663856983184,0.19525119399651886,0.0027882836,0.09826744,0.00029143938,0.17842332,0.113722466
300000,1.2074776,3.0,-0.6936599365947768,226.58,0.10982929,0.27686006,-0.6936600768566131,0.40083149760961534,0.0022287911,0.10872735,0.00029114785,0.16451137,0.13783364
310000,1.1443065,3.0,-0.27999994295047753,193.375,0.0036349667,0.2576065,-0.2800000589340925,0.3573017686915894,0.0053842166,0.10399073,0.00029084712,0.19138744,0.102563456
320000,1.075496,3.0,-0.21219481692935985,182.27692307692308,0.023785887,0.23876256,-0.22339067980647087,0.3149505416804459,0.0058140783,0.10234761,0.0002905325,0.17285338,0.09867065
330000,1.0337309,3.0,-0.12018433776485951,187.9787234042553,0.07484449,0.20313253,-0.10717366139094035,0.3013985860937585,0.0057188924,0.10465451,0.0002902506,0.16626225,0.09156986
340000,1.099345,3.0,-0.14963393303218717,182.92156862745097,0.08438028,0.16940093,-0.14963404512872883,0.3099273624373417,0.0050752354,0.10689305,0.00028996385,0.16191506,0.08764656
350000,1.0661875,3.0,-0.24993883265027156,190.11666666666667,0.058958706,0.17358993,-0.24993894547224044,0.3028559039812535,0.0046219495,0.10010447,0.00028965107,0.16918206,0.11560645
360000,1.0340297,3.0,-0.029647383337410595,174.1346153846154,0.14496213,0.18672092,-0.010647104066960952,0.26852535723032905,0.00509119,0.10454097,0.00028934074,0.16568527,0.11547885
370000,0.9354188,3.0,0.04447950011004426,155.3013698630137,0.20775083,0.22626221,0.044461149875431843,0.2455709344158842,0.0053371536,0.10712769,0.00028902644,0.15394776,0.11493585
380000,0.9723858,3.0,0.29475960582800087,142.19672131147541,0.31535253,0.25256655,0.26799996075083,0.19592960006328392,0.0047362456,0.10582248,0.00028874195,0.14424281,0.07511299
390000,0.9380072,3.0,0.11562723871075402,150.68421052631578,0.306759,0.25954568,0.11420609645153347,0.20698119712821944,0.004393518,0.10449711,0.00028845915,0.13133499,0.057110865
400000,0.9437133,3.0,0.3113182252414073,136.75757575757575,0.31739122,0.24545828,0.3377272396376639,0.14727692172340484,0.004195172,0.09554058,0.00028814533,0.12498567,0.07727828
410000,0.8655408,3.0,0.3220588664798176,132.90588235294118,0.32852942,0.25490132,0.29788488149642944,0.1769386571055899,0.004286892,0.099505626,0.0002878298,0.13341582,0.06888743
420000,0.8089783,3.0,0.5151786068398949,111.13095238095238,0.37874463,0.2608607,0.5188470219864565,0.12776353983756375,0.003590538,0.10627551,0.0002875488,0.12342684,0.05774895
430000,0.901677,3.0,0.40498201989228966,120.58108108108108,0.3238767,0.22406402,0.4032882488257176,0.14857875428640763,0.004092604,0.10646464,0.00028726956,0.13395354,0.06788245
440000,0.8095128,3.0,0.36204123870584737,124.58426966292134,0.43646175,0.20237066,0.36129209633623616,0.12413835691895043,0.0041552586,0.10428073,0.0002869587,0.093100384,0.051969014
450000,0.82638395,3.0,0.46622092041456287,114.20481927710843,0.4351013,0.20807658,0.46921425064404804,0.11888016274176716,0.0037557862,0.101091586,0.00028664654,0.1161807,0.04596735
460000,0.80544627,3.0,0.4902472285281741,112.26966292134831,0.41799444,0.16813974,0.5071666369383986,0.11327407682653177,0.0037755582,0.107114986,0.00028633635,0.11123624,0.0565181
470000,0.72420806,3.0,0.4965633682045154,107.25,0.46127346,0.1610212,0.48421329766511917,0.11485009745694696,0.0026037025,0.101506464,0.00028605325,0.10616717,0.062305924
480000,0.75832725,4.0,0.6354806527906899,90.12790697674419,0.47448644,0.21199335,0.6308926898857643,0.08338567415445015,0.0028569861,0.10871744,0.0002857672,0.10186131,0.03914415
490000,0.79700077,5.0,0.3701228483482019,116.80263157894737,0.32872495,0.282066,0.3701227738669044,0.13339958568471239,0.0033042473,0.10270063,0.0002854472,0.12471329,0.0714335
500000,0.8759553,5.0,0.08147373035746186,162.3684210526316,0.14432497,0.2459134,0.08147363599977996,0.1822866870727586,0.0026374776,0.100119896,0.00028514373,0.13658811,0.07008284
510000,0.85689086,5.0,-0.33222745701907175,196.55555555555554,0.14118558,0.20976372,-0.3466022154015879,0.25656793158381214,0.0031107313,0.098806724,0.00028483506,0.13677064,0.08669265
520000,0.7684743,5.0,0.19943720671409343,149.5737704918033,0.22894658,0.21862774,0.22495077867976954,0.17053218011851193,0.0032756508,0.10256667,0.0002845443,0.11442339,0.06569907
530000,0.7963449,5.0,0.18324159521380087,152.08695652173913,0.27011022,0.19604494,0.15914004911547122,0.16576159637812796,0.0043089744,0.10689143,0.0002842614,0.10887599,0.058596265
540000,0.8264805,5.0,0.19566671312070236,145.92307692307693,0.28322935,0.17181227,0.19775893000456002,0.1578696518133466,0.00246801,0.110324934,0.00028394427,0.10839716,0.07683233
550000,0.73667264,5.0,0.19380370089273952,152.23287671232876,0.35727477,0.16352765,0.21475794911384583,0.13598429899637218,0.002729922,0.10096987,0.000283629,0.09274746,0.04640611
560000,0.7034362,5.0,0.3643018452677171,134.06756756756758,0.32580078,0.14097597,0.3432882468442659,0.11319365777780076,0.00262868,0.10024406,0.00028335044,0.096509606,0.05168206
570000,0.7406288,5.0,0.3055297253168609,138.08219178082192,0.34229392,0.14621091,0.3268127478148839,0.11116822685867753,0.0021687972,0.104328275,0.00028306624,0.080404215,0.042177342
